station_public_id,province,inventory_l,price_krw_per_l,latitude,longitude,stock_status_color,observed_at,regional_demand_base_l,station_inventory_score,station_price_pressure_score,station_supply_priority_score,station_priority_rank,municipality_supply_availability_score,final_priority_score,final_priority_rank
STN-047,Gyeonggi-do,1800,2080,37.2477816,127.0480566,GREEN,2021-12-28 13:04:02,96533521.76011252,0.1685393258426966,0.4578651685393258,49.83146067415731,141,0.8934947162632352,49.92634375160369,47
STN-048,Gyeonggi-do,1500,1070,37.1434571,126.9178329,GREEN,2021-12-28 10:03:56,96533521.76011252,0.5561797752808989,0.2808988764044944,66.8679775280899,69,0.7701307554675109,49.152615109350215,48
STN-049,Gyeonggi-do,1500,1215,37.0998252,126.9024195,GREEN,2021-12-28 12:20:44,96533521.76011252,0.4887640449438202,0.2808988764044944,65.18258426966293,74,0.7701307554675109,49.152615109350215,49
STN-050,Gyeonggi-do,1500,1233,37.2075747,126.7679129,GREEN,2021-12-28 13:16:33,96533521.76011252,0.4831460674157303,0.2808988764044944,65.04213483146069,75,0.7701307554675109,49.152615109350215,50
STN-051,Gyeonggi-do,1500,1320,37.1924955,126.8392568,GREEN,2021-12-28 12:31:34,96533521.76011252,0.4382022471910112,0.2808988764044944,53.9185393258427,115,0.7701307554675109,49.152615109350215,51
STN-052,Gyeonggi-do,2200,1530,37.2566471,127.0961569,GREEN,2021-12-28 12:02:12,96533521.76011252,0.3089887640449438,0.946629213483146,60.6741573033708,84,0.723550689647494,48.20906528242285,52
STN-053,Gyeonggi-do,2200,2370,37.2630848,127.138561,GREEN,2021-12-28 09:12:31,96533521.76011252,0.1179775280898876,0.946629213483146,55.89887640449439,108,0.723550689647494,48.20906528242285,53
STN-054,Gyeonggi-do,2200,1176,37.2939102,126.8948565,GREEN,2021-12-28 13:06:26,96533521.76011252,0.5168539325842696,0.946629213483146,75.87078651685394,28,0.8076408283629397,47.83138422476094,54
STN-055,Gyeonggi-do,1200,2050,37.2519877,126.8721475,GREEN,2021-12-28 09:43:24,96533521.76011252,0.1853932584269663,0.0365168539325842,43.932584269662925,155,0.7701307554675109,46.90261510935022,55
STN-056,Gyeonggi-do,2000,1077,37.2385094,127.1064761,GREEN,2021-12-28 14:15:52,96533521.76011252,0.5449438202247191,0.7134831460674157,73.07584269662922,48,0.723550689647494,46.70906528242285,56
STN-057,Gyeonggi-do,2000,3228,37.27596709,127.07715021,GREEN,2021-12-28 06:06:12,96533521.76011252,0.0617977528089888,0.7134831460674157,50.99719101123597,132,0.723550689647494,46.70906528242285,57
STN-058,Gyeonggi-do,2000,3500,37.2385206,127.1784809,GREEN,2021-12-28 09:07:52,96533521.76011252,0.0393258426966292,0.7134831460674157,50.43539325842697,137,0.723550689647494,46.70906528242285,58
STN-059,Incheon,1400,463,37.4300261,126.7341209,YELLOW,2021-12-28 12:18:22,20757939.40511667,0.8314606741573034,0.146067415730337,57.97752808988764,99,0.5778822317269574,46.36216101632686,59
STN-060,Gyeonggi-do,2000,2300,37.3548427,126.8727877,GREEN,2021-12-28 12:01:47,96533521.76011252,0.1376404494382022,0.7134831460674157,52.8932584269663,120,0.8076408283629397,46.33138422476094,60
STN-061,Gyeonggi-do,2000,1000,37.6315773,126.7860889,GREEN,2021-12-28 14:53:31,96533521.76011252,0.5926966292134832,0.7134831460674157,74.26966292134833,41,0.8287113404657249,46.23164754861564,61
STN-062,Gyeonggi-do,2000,700,37.3675696,127.2320258,YELLOW,2021-12-28 09:35:13,96533521.76011252,0.7612359550561798,0.7134831460674157,78.48314606741575,13,0.5614627176163034,46.02332970351088,62
STN-063,Gyeonggi-do,2000,700,37.3431361,127.2020226,YELLOW,2021-12-28 09:34:56,96533521.76011252,0.7612359550561798,0.7134831460674157,78.48314606741575,13,0.5614627176163034,46.02332970351088,63
STN-064,Gyeonggi-do,1500,730,36.9291711,126.9153709,YELLOW,2021-12-28 09:26:12,96533521.76011252,0.747191011235955,0.2808988764044944,71.6432584269663,57,0.588726970117594,45.74255789630368,64
STN-065,Gyeonggi-do,1800,800,37.0428775,127.0623315,YELLOW,2021-12-28 12:55:53,96533521.76011252,0.7331460674157304,0.4578651685393258,73.94662921348316,42,0.588726970117594,45.54255789630368,65
STN-066,Gyeonggi-do,1800,300,37.8658809,127.0605213,YELLOW,2021-12-28 08:54:07,96533521.76011252,0.898876404494382,0.4578651685393258,78.08988764044943,14,0.3425983979983547,45.52118293649665,66
STN-067,Gyeonggi-do,1000,1456,37.1838606,126.8830985,GREEN,2021-12-28 13:58:10,96533521.76011252,0.3707865168539326,0.0084269662921348,48.14606741573034,145,0.7701307554675109,45.40261510935022,67
STN-068,Gyeonggi-do,1600,304,37.281844,127.475903,YELLOW,2021-12-28 12:59:30,96533521.76011252,0.8932584269662921,0.4073033707865168,77.19101123595507,20,0.2855633534167746,45.214637622926205,68
STN-069,Gyeonggi-do,2000,984,37.6478629,127.2354864,YELLOW,2021-12-28 14:11:28,96533521.76011252,0.6179775280898876,0.7134831460674157,74.90168539325843,38,0.793851461874131,45.20823271589661,69
STN-070,Gyeonggi-do,2000,1500,37.6084239,127.2109228,GREEN,2021-12-28 10:43:45,96533521.76011252,0.3286516853932584,0.7134831460674157,57.6685393258427,101,0.793851461874131,44.64823271589661,70
STN-071,Incheon,1500,605,37.6055707,126.6459976,YELLOW,2021-12-28 09:09:52,20757939.40511667,0.797752808988764,0.2808988764044944,59.15730337078652,92,0.5944993376057989,44.559475791711954,71
STN-072,Gyeonggi-do,1500,1000,37.1078688,127.178377,GREEN,2021-12-28 10:32:10,96533521.76011252,0.5926966292134832,0.2808988764044944,67.7808988764045,67,0.723550689647494,42.959065282422834,72
STN-073,Gyeonggi-do,2000,360,37.6070706,127.1344962,YELLOW,2021-12-28 13:07:43,96533521.76011252,0.8792134831460674,0.7134831460674157,81.43258426966293,4,0.4577699968646836,42.73605909221425,73
STN-074,Gyeonggi-do,1500,1553,37.2415923,126.5924318,GREEN,2021-12-28 09:31:22,96533521.76011252,0.3033707865168539,0.2808988764044944,50.547752808988776,136,0.8076408283629397,42.58138422476093,74
STN-075,Gyeonggi-do,2200,850,37.2805735,127.3421772,YELLOW,2021-12-28 11:54:41,96533521.76011252,0.702247191011236,0.946629213483146,80.5056179775281,8,0.5614627176163034,42.27332970351087,75
STN-076,Incheon,2000,636,37.486792,126.7331326,YELLOW,2021-12-28 11:56:46,20757939.40511667,0.7808988764044944,0.7134831460674157,65.2247191011236,73,0.591450686427441,42.23949842962077,76
STN-077,Gyeonggi-do,2000,400,37.012164,127.247241,YELLOW,2021-12-28 12:30:00,96533521.76011252,0.8567415730337079,0.7134831460674157,80.87078651685394,6,0.1901990125191858,41.813930876343,77
STN-078,Gyeonggi-do,1200,650,37.3946,127.3133483,YELLOW,2021-12-28 14:13:16,96533521.76011252,0.7752808988764045,0.0365168539325842,68.67977528089888,66,0.5614627176163034,41.77332970351087,78
STN-079,Gyeonggi-do,2000,3322,37.5095376,126.7985945,GREEN,2021-12-28 10:54:18,96533521.76011252,0.050561797752809,0.7134831460674157,50.71629213483146,133,0.749907346909929,41.72905017339842,79
STN-080,Gyeonggi-do,1300,6900,37.2320243,127.2979189,GREEN,2021-12-28 11:44:54,96533521.76011252,0.0,0.0926966292134831,40.14044943820225,157,0.723550689647494,41.45906528242285,80
STN-081,Gyeonggi-do,1500,200,37.336115,126.9539926,YELLOW,2021-12-28 11:13:41,96533521.76011252,0.9129213483146068,0.2808988764044944,75.7865168539326,29,0.2838390340774184,41.00773596933313,81
STN-082,Gyeonggi-do,2500,1092,37.6981989,126.5757217,GREEN,2021-12-28 12:31:17,96533521.76011252,0.5393258426966292,0.9915730337078652,77.10674157303372,22,0.6822609238659274,40.456955427576126,82
STN-083,Gyeonggi-do,2000,1276,37.0646273,127.0922513,GREEN,2021-12-28 09:02:30,96533521.76011252,0.4606741573033708,0.7134831460674157,70.96910112359551,61,0.588726970117594,40.04255789630369,83
STN-084,Gyeonggi-do,2000,1501,37.0044066,126.8275843,GREEN,2021-12-28 06:09:35,96533521.76011252,0.3202247191011236,0.7134831460674157,57.45786516853933,102,0.588726970117594,40.04255789630369,84
STN-085,Gyeonggi-do,2000,2188,37.0328071,127.1263987,GREEN,2021-12-28 12:32:20,96533521.76011252,0.1573033707865169,0.7134831460674157,53.38483146067416,117,0.588726970117594,40.04255789630369,85
STN-086,Gyeonggi-do,2000,4000,37.04411098,127.1011286,GREEN,2021-12-28 09:01:51,96533521.76011252,0.0168539325842697,0.7134831460674157,49.87359550561799,140,0.588726970117594,40.04255789630369,86
STN-087,Gyeonggi-do,1500,350,37.023877,127.2651376,YELLOW,2021-12-28 11:22:31,96533521.76011252,0.8876404494382022,0.2808988764044944,75.15449438202248,36,0.1901990125191858,39.813930876343,87
STN-088,Gyeonggi-do,1500,400,37.8759391,127.0246506,YELLOW,2021-12-28 12:08:10,96533521.76011252,0.8567415730337079,0.2808988764044944,74.38202247191012,40,0.3425983979983547,39.77118293649665,88
STN-089,Gyeonggi-do,2000,880,37.4320032,127.2613132,YELLOW,2021-12-28 12:02:45,96533521.76011252,0.6797752808988764,0.7134831460674157,76.44662921348315,23,0.5614627176163034,39.72332970351087,89
STN-090,Gyeonggi-do,1800,1330,37.3510949,126.7224406,GREEN,2021-12-28 10:33:44,96533521.76011252,0.4325842696629213,0.4578651685393258,56.432584269662925,105,0.7551417565825301,39.720655539214334,90
STN-091,Gyeonggi-do,2200,1182,37.5845085,126.7958021,GREEN,2021-12-28 12:52:33,96533521.76011252,0.5056179775280899,0.946629213483146,75.58988764044945,32,0.6822609238659274,38.206955427576126,91
STN-092,Gyeonggi-do,2000,1255,37.801992,126.8809745,GREEN,2021-12-28 09:22:05,96533521.76011252,0.4775280898876404,0.7134831460674157,71.39044943820225,59,0.6743431513596828,38.11415669241399,92
STN-093,Gyeonggi-do,2000,3339,37.8084801,126.7939965,GREEN,2021-12-28 06:20:27,96533521.76011252,0.0449438202247191,0.7134831460674157,50.57584269662922,135,0.6743431513596828,38.11415669241399,93
STN-094,Gyeonggi-do,1400,564,37.2486473,127.6492344,YELLOW,2021-12-28 10:12:16,96533521.76011252,0.8202247191011236,0.146067415730337,71.44662921348315,58,0.449432358530365,37.52171272787231,94
STN-095,Gyeonggi-do,1500,1010,37.0061037,127.0726601,GREEN,2021-12-28 12:25:34,96533521.76011252,0.5617977528089888,0.2808988764044944,67.00842696629215,68,0.588726970117594,36.29255789630369,95
STN-096,Gyeonggi-do,1500,1210,36.9452593,126.8755747,GREEN,2021-12-28 14:33:38,96533521.76011252,0.4971910112359551,0.2808988764044944,65.3932584269663,72,0.588726970117594,36.29255789630369,96
STN-097,Gyeonggi-do,1500,1210,37.0284483,126.9740156,GREEN,2021-12-28 13:49:49,96533521.76011252,0.4971910112359551,0.2808988764044944,65.3932584269663,72,0.588726970117594,36.29255789630369,97
STN-098,Gyeonggi-do,1500,1400,36.9852515,126.8599971,GREEN,2021-12-28 04:46:45,96533521.76011252,0.3876404494382022,0.2808988764044944,52.65449438202248,122,0.588726970117594,36.29255789630369,98
STN-099,Gyeonggi-do,1500,1500,37.0011483,126.9432338,GREEN,2021-12-28 12:36:43,96533521.76011252,0.3286516853932584,0.2808988764044944,51.17977528089888,130,0.588726970117594,36.29255789630369,99
STN-100,Gyeonggi-do,2000,979,37.3281315,127.3949296,YELLOW,2021-12-28 12:01:50,96533521.76011252,0.6292134831460674,0.7134831460674157,75.18258426966293,35,0.5614627176163034,36.25832970351088,100
STN-101,Gyeonggi-do,2400,1610,37.3797147,126.938793,GREEN,2021-12-28 08:33:03,96533521.76011252,0.2808988764044944,0.9803370786516854,60.47752808988764,86,0.6256716034762899,35.54928443849612,101
STN-102,Gyeonggi-do,2000,1300,37.4706612,127.3102983,GREEN,2021-12-28 13:32:06,96533521.76011252,0.449438202247191,0.7134831460674157,70.68820224719101,63,0.5614627176163034,35.52332970351087,102
STN-103,Gyeonggi-do,2000,1478,37.4341888,127.2620682,GREEN,2021-12-28 12:01:28,96533521.76011252,0.3539325842696629,0.7134831460674157,58.30056179775282,97,0.5614627176163034,35.52332970351087,103
